"Statistic Label","Year","Type of Urban or Rural Area","Small Area","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267140026","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048045003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268052010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047016016","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268074013","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","237068008","Number","404"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067187001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167038022","Number","206"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157039002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267136007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167058002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087050003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147042017","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087018006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127124001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","207081024","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107072009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268124002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","017010034/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107001006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048006003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267040058","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268051006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","207077005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","017011020","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","027068001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257017014","Number","286"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267145004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","237086001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048012011","Number",""
